"credit_card","city","state","zipcode","credit_card_limit"
6455247676775228,"Raleigh","WV","25911",20000
7809589434909452,"Pasadena","MD","21122",10000
5376655964161192,"Washington","NH","03280",3000
2441100449108586,"Memphis","NY","13112",14000
3000865854914214,"Washington","NH","03280",5000
8414741953111383,"Washington","NH","03280",18000
4521667837475463,"Richmond","MA","01254",9000
8534199181434464,"Des Moines","IA","50301",20000
5664450038929347,"Miami","WV","25134",40000
5458162124475323,"Memphis","NY","13112",20000
4298557099672376,"Pittsburgh","PA","15201",8000
4318352196714983,"Washington","NH","03280",24000
6063334769611138,"Portland","ME","04101",10000
1833346877787047,"Arlington","MA","02174",8000
2420143847731044,"Washington","NH","03280",9000
3224706753595872,"New York","NY","10001",21000
2238144513466760,"Buffalo","NY","14201",10000
7238936669483666,"Washington","NH","03280",9000
6988573032633097,"Washington","NH","03280",6000
8246842555809242,"Long Beach","NY","11561",14000
3283780398702017,"Houston","PA","15342",8000
8186338691607752,"Houston","PA","15342",10000
4114566748837655,"Springfield","MA","01101",8000
2473526792975445,"Houston","PA","15342",10000
3046519985237274,"Newark","NJ","07101",10000
7877869810457796,"Washington","NH","03280",8000
8533111210766809,"New York","NY","10001",12000
7198750113791865,"El Paso","IL","61738",3000
3355576223096097,"Miami","WV","25134",4000
1668261999348087,"Columbus","NJ","08022",12000
9755306333757844,"Washington","NH","03280",10000
7687658687382923,"Washington","NH","03280",10000
6423417855132625,"Springfield","MA","01101",5000
9851955447362962,"El Paso","IL","61738",8000
3424173121597094,"Miami","WV","25134",6000
6615733467016631,"Chicago","IL","60290",9000
8016323385451014,"Los Angeles","CA","90001",10000
4290726060535834,"Dallas","PA","18612",10000
9430574789596024,"San Antonio","PR","00690",20000
3966556370103795,"Washington","NH","03280",16000
4462290711836916,"New York","NY","10001",2000
3457862814915595,"Indianapolis","IN","46201",20000
3801374660832282,"Fort Worth","TX","76101",20000
6126515498577720,"Washington","NH","03280",7000
3917492344376650,"Chicago","IL","60290",20000
8162218322673975,"Akron","NY","14001",20000
7962835535781875,"Houston","PA","15342",9000
8108798437651256,"Washington","NH","03280",14000
7115509751643442,"New Orleans","LA","70112",10000
5654948589485821,"Washington","NH","03280",18000
8353267890887335,"Washington","NH","03280",10000
5662926915287941,"Washington","NH","03280",2000
2303171755251168,"El Paso","IL","61738",10000
9449500138776236,"Richmond","MA","01254",20000
5171595359553508,"Houston","PA","15342",20000
7036919029144120,"New York","NY","10001",30000
8526940090693523,"Washington","NH","03280",9000
3053439628501145,"Washington","NH","03280",15000
3342907490282079,"Dallas","PA","18612",5000
6058125552802074,"Washington","NH","03280",16000
4324769211499741,"Houston","PA","15342",3000
9961694231875562,"Washington","NH","03280",10000
9043793084665932,"Sacramento","PA","17968",20000
7700703753605708,"Washington","NH","03280",7000
5659288348108211,"Cleveland","NY","13042",20000
5364469336425108,"Springfield","MA","01101",7000
5290774753899753,"Saint Louis","MI","48880",10000
5339470339859139,"Washington","NH","03280",14000
8325153881531522,"Salt Lake City","UT","84101",20000
3547198874425548,"Washington","NH","03280",5000
7499289351166761,"Fresno","OH","43824",6000
3253141560871065,"Cincinnati","OH","45201",30000
7239424032193412,"Sacramento","PA","17968",2000
7200349472931713,"Memphis","NY","13112",9000
7996607928053715,"Austin","PA","16720",16000
2625359414931381,"Washington","NH","03280",12000
4779104415243065,"Fresno","OH","43824",10000
4982870431606503,"Washington","NH","03280",16000
8409627988583176,"Washington","NH","03280",8000
7492940622489570,"Portland","ME","04101",10000
5948940271342611,"Saint Louis","MI","48880",12000
7781508495272974,"New York","NY","10001",5000
3702831934212129,"Dover","MA","02030",20000
3817731837557664,"Washington","NH","03280",18000
5849111629036386,"Atlanta","NY","14808",10000
3707548197703686,"New York","NY","10001",6000
6806677056951330,"El Paso","IL","61738",8000
4296246438604183,"New York","NY","10001",10000
7628993515975118,"San Jose","IL","62682",14000
6849482510053541,"Washington","NH","03280",8000
7479546374341294,"Washington","NH","03280",7000
1468686791689484,"Houston","PA","15342",9000
6933786855515871,"Trenton","NJ","08601",7000
4168922642514119,"Oakland","RI","02858",10000
7716741324008377,"Birmingham","NJ","08011",10000
3506311286355533,"Washington","NH","03280",7000
3281814060807145,"San Diego","TX","78384",4000
9657365357231404,"Washington","NH","03280",5000
2341891378416287,"Houston","PA","15342",3000
5022294487953183,"Washington","NH","03280",10000
9492326065816276,"Washington","NH","03280",20000
9532228141038472,"Washington","NH","03280",9000
9711468735134956,"Richmond","MA","01254",32000
1985465879991560,"Washington","NH","03280",3000
1571950024675150,"Atlanta","NY","14808",5000
1488824811225438,"Houston","PA","15342",35000
9784236961027780,"Gretna","VA","24557",7000
5759828179208154,"New York","NY","10001",8000
2250292384508608,"Houston","PA","15342",10000
5697145338404683,"Washington","NH","03280",8000
1106824181265726,"Washington","NH","03280",6000
1380553699881195,"Clinton","MA","01510",21000
5285935774074579,"Honolulu","HI","96801",15000
8540644680323289,"Washington","NH","03280",8000
7246108290515977,"Charleston","ME","04422",16000
2006318724037943,"Springfield","MA","01101",12000
1264384810841217,"El Paso","IL","61738",10000
4833760023644511,"Dallas","PA","18612",30000
5320791639135601,"Houston","PA","15342",12000
1505998080559428,"Dallas","PA","18612",8000
3815394949163663,"Washington","NH","03280",18000
4050952261377140,"New York","NY","10001",5000
4140252840629305,"El Paso","IL","61738",40000
7304413635737386,"Houston","PA","15342",7000
4302633772248169,"Dayton","NJ","08810",16000
1740452094861972,"Sacramento","PA","17968",10000
8290434690016513,"Dallas","PA","18612",14000
9143914562725960,"Washington","NH","03280",12000
5891245628237787,"El Paso","IL","61738",21000
1896197396507201,"Washington","NH","03280",5000
3742680218482691,"Washington","NH","03280",25000
7081424943873587,"Washington","NH","03280",18000
5686317975615926,"Mobile","AL","36601",15000
4663577652761810,"Washington","NH","03280",5000
5080999416077253,"Washington","NH","03280",5000
2544794177165766,"Washington","NH","03280",18000
6984795534098127,"Miami","WV","25134",10000
5762108118035491,"Kansas City","MO","64101",10000
6596857396468224,"Sacramento","PA","17968",18000
5046524059181009,"Washington","NH","03280",8000
5133871386101527,"Albany","VT","05820",9000
2366928097135853,"Washington","NH","03280",14000
5872602762998578,"Charlotte","VT","05445",7000
1013870087888817,"Washington","NH","03280",15000
6225921585766163,"Springfield","MA","01101",16000
5666241810779885,"Washington","NH","03280",9000
4333830558305665,"Washington","NH","03280",20000
9804141847583936,"Washington","NH","03280",16000
8550977182819809,"Washington","NH","03280",20000
8011569676936865,"Philadelphia","NY","13673",10000
5527951937235136,"Washington","NH","03280",6000
5808568142475251,"Houston","PA","15342",5000
9426548622589628,"Houston","PA","15342",6000
8308288662905313,"Washington","NH","03280",16000
5000268333411354,"Houston","PA","15342",10000
3972528153355730,"Dallas","PA","18612",8000
2011225415908789,"Washington","NH","03280",10000
9836548369808504,"Seattle","WA","98060",20000
3367848759678576,"Akron","NY","14001",8000
6521271718368276,"Madison","NH","03849",7000
3276369883343727,"Pittsburgh","PA","15201",10000
2396988576748662,"Newport","RI","02840",12000
4954103748307036,"El Paso","IL","61738",4000
4803218554363943,"Albany","VT","05820",4000
5468123853913421,"Madison","NH","03849",7000
6245684915925010,"Dallas","PA","18612",3000
2743655125021019,"Lafayette","NJ","07848",12000
9884182241594028,"Washington","NH","03280",8000
3489836158322637,"Washington","NH","03280",15000
2692109715166166,"Houston","PA","15342",10000
3769271071419194,"Washington","NH","03280",25000
4341436577635619,"Kansas City","MO","64101",8000
2229356545413340,"El Paso","IL","61738",4000
9460261785948036,"Washington","NH","03280",9000
4893545347026703,"Washington","NH","03280",4000
9311226148341480,"Springfield","MA","01101",12000
8123289635641903,"San Antonio","PR","00690",15000
1475826831184689,"Charleston","ME","04422",20000
3696717918927642,"Oklahoma City","OK","73101",16000
7470859729993000,"Washington","NH","03280",16000
2032689281683871,"Washington","NH","03280",4000
2206106834866031,"Washington","NH","03280",10000
3677501628719542,"Los Angeles","CA","90001",10000
9791737612737164,"Washington","NH","03280",8000
5488856737032471,"Austin","PA","16720",12000
3738695168506613,"Trenton","NJ","08601",8000
4281752431928501,"Washington","NH","03280",33000
4118286032166087,"El Paso","IL","61738",3000
7545819552904208,"Washington","NH","03280",8000
3546693056773873,"Pensacola","FL","32501",12000
5717872686412990,"Washington","NH","03280",16000
5790900556949261,"Chicago","IL","60290",10000
8894346622126012,"Oklahoma City","OK","73101",5000
1538309249157612,"Houston","PA","15342",10000
3645572182845204,"Topeka","IN","46571",10000
2012803986778779,"Washington","NH","03280",6000
5016712448423893,"Madison","NH","03849",6000
4008221261662791,"Washington","NH","03280",14000
5537697283153819,"Dallas","PA","18612",20000
1312823087473107,"Washington","NH","03280",16000
6495847936021430,"Washington","NH","03280",20000
1702788839758517,"Washington","NH","03280",5000
7898918688943986,"El Paso","IL","61738",20000
5864242444135997,"Washington","NH","03280",20000
7062171597079225,"Washington","NH","03280",9000
4270238553541882,"Washington","NH","03280",8000
7556827548313098,"Washington","NH","03280",7000
8736638781823948,"Phoenix","NY","13135",5000
5286504827011372,"Dallas","PA","18612",10000
3871110336988202,"Washington","NH","03280",10000
7578127974417334,"Houston","PA","15342",8000
8561516016778095,"Houston","PA","15342",10000
7553474181965140,"Miami","WV","25134",14000
4172354071638301,"Portland","ME","04101",25000
9076783251687962,"Washington","NH","03280",6000
9258505119361784,"Madison","NH","03849",8000
8886885444601763,"Washington","NH","03280",10000
9119845117528812,"Houston","PA","15342",15000
9837774113787236,"Pittsburgh","PA","15201",20000
7011626867998686,"Cincinnati","OH","45201",7000
2941992413383931,"El Paso","IL","61738",14000
7446346770123339,"Jacksonville","VT","05342",5000
4722888325136251,"New York","NY","10001",10000
7195601645654041,"Greensboro","VT","05841",16000
2557172553412520,"Washington","NH","03280",10000
6515359867298603,"Washington","NH","03280",6000
4171614982554774,"Denver","NY","12421",10000
1464551767416747,"Washington","NH","03280",8000
2239759218122779,"Washington","NH","03280",20000
6667627884219652,"Shreveport","LA","71101",10000
3541586324828319,"Fresno","OH","43824",28000
3736320383919103,"Washington","NH","03280",6000
7452262324088889,"Las Vegas","NM","87701",10000
9802875887295518,"Madison","NH","03849",10000
2170125942816920,"Washington","NH","03280",18000
8152578549627680,"Atlanta","NY","14808",14000
4672118413151569,"Sacramento","PA","17968",14000
7961700524971531,"Washington","NH","03280",5000
1388343943378591,"Miami","WV","25134",20000
9986135779184360,"Houston","PA","15342",14000
2850146878241916,"Washington","NH","03280",4000
4026696367506082,"Washington","NH","03280",8000
7930309756035775,"El Paso","IL","61738",10000
4664185471467111,"Saint Paul","VA","24283",16000
8413908390816172,"New York","NY","10001",24000
4307439154071927,"New York","NY","10001",6000
4227572855159541,"Miami","WV","25134",8000
4666866933569419,"Washington","NH","03280",8000
7280963829231048,"Washington","NH","03280",8000
6872461016514653,"Birmingham","NJ","08011",10000
9577424157559810,"Huntington","MA","01050",18000
9697976691448340,"El Paso","IL","61738",12000
9678367852258782,"New York","NY","10001",12000
5275410446848007,"Houston","PA","15342",18000
5533884728934194,"Jackson","NH","03846",21000
4386321242706043,"New York","NY","10001",20000
5098511582643613,"Washington","NH","03280",14000
5494958749848869,"Charlotte","VT","05445",9000
4186963117247464,"New York","NY","10001",30000
2065958041391621,"New York","NY","10001",10000
7186723485093836,"Washington","NH","03280",10000
1562104682001408,"Washington","NH","03280",24000
2218504565462778,"Washington","NH","03280",18000
8675614747234783,"Dallas","PA","18612",10000
7142411144219620,"Washington","NH","03280",9000
2300367582228844,"Lexington","MA","02173",10000
9245298182395396,"Sacramento","PA","17968",28000
3340974252743524,"Houston","PA","15342",6000
9727202337611852,"Las Vegas","NM","87701",20000
6636937316963132,"Dallas","PA","18612",16000
1548924125935895,"Washington","NH","03280",5000
7506181666311196,"Washington","NH","03280",9000
2324277636337514,"Los Angeles","CA","90001",6000
5975270769354417,"Washington","NH","03280",5000
5446645498913605,"Los Angeles","CA","90001",15000
7642492194434148,"Rochester","MA","02770",15000
7968925716431446,"Washington","NH","03280",12000
2964226721442922,"Washington","NH","03280",12000
1818161941088271,"Jackson","NH","03846",6000
9818730572429186,"Las Vegas","NM","87701",6000
3238229810297729,"Arlington","MA","02174",18000
5175507030601876,"Washington","NH","03280",20000
9066991493609928,"Minneapolis","NC","28652",15000
3575809678541644,"Washington","NH","03280",15000
3836251327914201,"Mobile","AL","36601",12000
4403429977563696,"Washington","NH","03280",5000
2635734164793243,"Washington","NH","03280",5000
2848482178783636,"Charlotte","VT","05445",7000
1800690977956392,"Austin","PA","16720",14000
9698400826549648,"Dallas","PA","18612",5000
4233789026286017,"Columbia","CT","06237",18000
1073931538936472,"Dallas","PA","18612",10000
6287151117146988,"Houston","PA","15342",3000
8924903425751823,"New York","NY","10001",10000
6714811165769097,"New York","NY","10001",10000
6319530478989228,"Columbia","CT","06237",12000
4003356110638356,"Oklahoma City","OK","73101",20000
1716846938844184,"Jackson","NH","03846",7000
8400351495711483,"Washington","NH","03280",8000
5828448317363869,"Orlando","WV","26412",7000
6256736424616777,"Oklahoma City","OK","73101",10000
3862898177506617,"Washington","NH","03280",8000
9213346056999744,"Washington","NH","03280",20000
6161580285936095,"Washington","NH","03280",12000
5308904973935901,"Washington","NH","03280",10000
1934150487562155,"Kansas City","MO","64101",10000
2980539633198204,"Washington","NH","03280",7000
6198761755487915,"Louisville","GA","30434",4000
4048301611162722,"Washington","NH","03280",5000
3222599265756712,"Washington","NH","03280",5000
2698111742263426,"Washington","NH","03280",2000
5814955316793393,"Houston","PA","15342",16000
3091243789501733,"Birmingham","NJ","08011",4000
3197366545608306,"El Paso","IL","61738",7000
5079406362483117,"Cincinnati","OH","45201",10000
6898559558056681,"Washington","NH","03280",10000
8889611665372298,"Houston","PA","15342",4000
3095443081295019,"Dallas","PA","18612",20000
5700924993541613,"El Paso","IL","61738",12000
3126713197438541,"Washington","NH","03280",15000
5167229387043743,"Washington","NH","03280",4000
3436245968389889,"Houston","PA","15342",10000
9397534897596052,"Washington","NH","03280",10000
3448348878698904,"Washington","NH","03280",10000
9182297359077336,"Washington","NH","03280",2000
3086742415895605,"Washington","NH","03280",10000
6214915371897876,"Springfield","MA","01101",28000
5433491746431814,"Louisville","GA","30434",12000
2260531719298071,"Houston","PA","15342",18000
3084925533151405,"Oklahoma City","OK","73101",6000
1420382222148431,"Oklahoma City","OK","73101",5000
3951632727431524,"El Paso","IL","61738",25000
1838946782417200,"Houston","PA","15342",7000
5105236644344510,"Washington","NH","03280",10000
5918282832042862,"Washington","NH","03280",5000
4690759158535050,"Chicago","IL","60290",15000
3269417514626180,"Washington","NH","03280",18000
7489457910592208,"Washington","NH","03280",15000
1827724345844879,"Boston","MA","02101",10000
1981294676906345,"Portland","ME","04101",5000
4157980693234568,"Washington","NH","03280",10000
4441810945214262,"Akron","NY","14001",30000
2824840080919615,"Washington","NH","03280",8000
7524708568363224,"Austin","PA","16720",24000
2241726319111705,"Washington","NH","03280",10000
4546345297067747,"Houston","PA","15342",8000
6270963060103806,"Dallas","PA","18612",21000
1023820165155391,"Charlotte","VT","05445",28000
3486363890209406,"Springfield","MA","01101",4000
5177967593503491,"Fort Worth","TX","76101",20000
2409669868254522,"Charleston","ME","04422",2000
3369600965634913,"New York","NY","10001",2000
7392714892073628,"Kansas City","MO","64101",3000
4705966876787269,"Lexington","MA","02173",10000
7794694461432561,"New Haven","VT","05472",6000
2267974573364254,"Charlotte","VT","05445",8000
1284450389976622,"Wichita","KS","67201",4000
4313788156475922,"Washington","NH","03280",8000
4141302078555386,"Springfield","MA","01101",12000
9466839319443564,"Washington","NH","03280",10000
1749458277555747,"Rochester","MA","02770",20000
4025320586621760,"Washington","NH","03280",12000
2015751582522409,"Washington","NH","03280",20000
8088335924434698,"Albany","VT","05820",4000
3552650080971064,"Sacramento","PA","17968",20000
6156698325995733,"Washington","NH","03280",10000
5739635764702223,"Bristol","RI","02809",10000
5836753091038481,"Hillsboro","NH","03244",12000
3824313030996787,"Washington","NH","03280",12000
5178912386959057,"Rochester","MA","02770",5000
7546186362815170,"Charlotte","VT","05445",9000
1508274565891207,"Washington","NH","03280",20000
3208666010319493,"Washington","NH","03280",12000
6744701624115884,"Austin","PA","16720",20000
9309465343004132,"Charlotte","VT","05445",21000
4933910876032607,"Houston","PA","15342",15000
6863464532297009,"El Paso","IL","61738",12000
1337293370722685,"Seattle","WA","98060",8000
4710393737306304,"Dallas","PA","18612",10000
4289208456528903,"Washington","NH","03280",4000
8707235956924043,"Houston","PA","15342",10000
1459700728665333,"Auburn","MA","01501",8000
7640392875963406,"New York","NY","10001",6000
5784686375395380,"Washington","NH","03280",2000
3902105116692669,"Dayton","NJ","08810",3000
1089479586475600,"Buffalo","NY","14201",18000
6174559182308122,"Washington","NH","03280",6000
9465925894275276,"Washington","NH","03280",15000
3259748360353854,"Colorado Springs","CO","80509",6000
7646245348474631,"Hartford","VT","05047",8000
5013753958362344,"Washington","NH","03280",12000
4931351520825852,"Washington","NH","03280",6000
5453745952738769,"Washington","NH","03280",10000
2932839780724266,"Friendship","ME","04547",4000
6125797751768025,"Washington","NH","03280",10000
9232624030914708,"Washington","NH","03280",10000
4251786088548131,"Omaha","GA","31821",5000
7509272878525535,"El Paso","IL","61738",12000
7598247814165987,"Columbia","CT","06237",5000
1250832548098023,"Washington","NH","03280",3000
5208989390764870,"Washington","NH","03280",16000
7035768975773980,"Louisville","GA","30434",5000
5293204730208718,"Washington","NH","03280",35000
1101164752077181,"Washington","NH","03280",9000
7688291064116663,"Dallas","PA","18612",12000
2245942585429940,"Washington","NH","03280",10000
9632319271199136,"Sacramento","PA","17968",4000
8569454397966652,"Richmond","MA","01254",16000
8765140629962839,"Miami","WV","25134",27000
9031216392913950,"Philadelphia","NY","13673",9000
9081330229975376,"Houston","PA","15342",5000
7324887971716592,"New York","NY","10001",2000
8990491830039318,"Houston","PA","15342",4000
3417477890619483,"Washington","NH","03280",9000
4747886986038458,"Washington","NH","03280",30000
5201123369816877,"Houston","PA","15342",10000
4074760985342487,"Philadelphia","NY","13673",2000
9224205015351942,"Washington","NH","03280",6000
1943216273885700,"Madison","NH","03849",14000
4876614541242383,"Washington","NH","03280",9000
7927809297669234,"Washington","NH","03280",10000
5229488282763963,"Houston","PA","15342",7000
2217812082379607,"San Antonio","PR","00690",5000
4320721997102152,"Raleigh","WV","25911",25000
5993120257934794,"Tampa","FL","33601",40000
3357251116163441,"Washington","NH","03280",25000
2519792944246796,"Sacramento","PA","17968",4000
3002135240381800,"New York","NY","10001",9000
3410360221015707,"Washington","NH","03280",20000
4792676311859858,"Houston","PA","15342",30000
8197260029891556,"El Paso","IL","61738",9000
4832198644199161,"Washington","NH","03280",40000
5577483128229669,"Washington","NH","03280",12000
1190980117697422,"El Paso","IL","61738",7000
5142934429645149,"Washington","NH","03280",28000
9256164582502904,"Philadelphia","NY","13673",7000
9021391556427712,"Philadelphia","NY","13673",8000
2817353387367914,"New York","NY","10001",15000
6776904214455240,"Washington","NH","03280",12000
9304374049217870,"Buffalo","NY","14201",14000
8955392958618753,"Washington","NH","03280",20000
1295205764436116,"Washington","NH","03280",8000
1501541842357388,"Washington","NH","03280",10000
3551280959338794,"El Paso","IL","61738",10000
3384913269838299,"Miami","WV","25134",5000
2647136239925128,"San Diego","TX","78384",18000
8311886363156679,"Miami","WV","25134",4000
6598829254424957,"San Antonio","PR","00690",16000
7581688456986723,"New York","NY","10001",8000
7850942767136368,"Washington","NH","03280",4000
5929569085404951,"Washington","NH","03280",6000
1165413984579076,"New York","NY","10001",8000
4798124560973632,"Washington","NH","03280",10000
4531548899489219,"Scranton","PA","18501",12000
4993234579335307,"Washington","NH","03280",18000
9621317412072412,"Washington","NH","03280",16000
1540571164649072,"Washington","NH","03280",7000
1489635379898079,"Kansas City","MO","64101",7000
5705142797618710,"Springfield","MA","01101",5000
8516934048339373,"Houston","PA","15342",5000
7924297455503050,"Washington","NH","03280",5000
7193900293112316,"New York","NY","10001",24000
2469800015876540,"Tulsa","OK","74101",12000
7736882353171315,"Houston","PA","15342",20000
9854872265114976,"Houston","PA","15342",20000
3992365863289344,"Washington","NH","03280",15000
1221421251374063,"Cedar Rapids","IA","52401",20000
4682464059155194,"Louisville","GA","30434",18000
6766253113444560,"Dallas","PA","18612",2000
7916370876622524,"Sacramento","PA","17968",25000
7811700299325879,"Sacramento","PA","17968",20000
5365966946601761,"Hartford","VT","05047",10000
1224132812823172,"Miami","WV","25134",20000
8295403590944723,"Washington","NH","03280",16000
6202290276245949,"Portland","ME","04101",7000
8185822588605701,"Houston","PA","15342",12000
1615829389733620,"Washington","NH","03280",14000
5915891114492596,"Madison","NH","03849",10000
6780209767452752,"Washington","NH","03280",35000
1688895281144247,"Washington","NH","03280",12000
4401901448192965,"Dayton","NJ","08810",15000
1156998467006869,"Miami","WV","25134",20000
1254472912142815,"Washington","NH","03280",20000
9644781126679504,"Washington","NH","03280",10000
6013984457072930,"Washington","NH","03280",10000
8032811535391112,"Washington","NH","03280",15000
4569281393242605,"Washington","NH","03280",16000
7831664021861519,"Jackson","NH","03846",21000
2639660431498464,"Kansas City","MO","64101",9000
5721265318199034,"Troy","NH","03465",15000
5671348187096692,"Washington","NH","03280",6000
6698437277931525,"Vallejo","CA","94589",5000
4019546939071295,"Washington","NH","03280",20000
2020458328196357,"Somerset","MA","02725",4000
2000422161074606,"Houston","PA","15342",5000
3907281016803810,"Chester","MA","01011",12000
5247358861329350,"Washington","NH","03280",20000
1761568277897366,"Washington","NH","03280",30000
6499168840378342,"Washington","NH","03280",8000
8702495698901225,"Houston","PA","15342",30000
3129775937278112,"Washington","NH","03280",6000
7943675133681182,"Washington","NH","03280",4000
6379790667727929,"Indianapolis","IN","46201",20000
4063875032497374,"New York","NY","10001",10000
2548694161694583,"San Diego","TX","78384",10000
3514909947941558,"Washington","NH","03280",9000
1281918894315694,"Memphis","NY","13112",7000
5552770653002916,"New York","NY","10001",20000
2617818479902672,"Albany","VT","05820",35000
1326817464191542,"Clinton","MA","01510",10000
6162758085256721,"Washington","NH","03280",12000
1301519430111888,"Dallas","PA","18612",8000
2319535367187634,"Washington","NH","03280",15000
4662285575534520,"Houston","PA","15342",4000
3709941163857886,"Charlotte","VT","05445",21000
5342740779739467,"New York","NY","10001",10000
1137926374621536,"Houston","PA","15342",9000
1713761471587217,"Washington","NH","03280",4000
4564117045739728,"Washington","NH","03280",15000
9273979691375096,"Madison","NH","03849",12000
2246920751887814,"Miami","WV","25134",9000
7710564188096682,"Washington","NH","03280",12000
3481671427731175,"Washington","NH","03280",10000
3936887050542904,"Sacramento","PA","17968",4000
9547718659524868,"Washington","NH","03280",9000
6404482075284890,"Washington","NH","03280",18000
5061349615705175,"Dayton","NJ","08810",10000
9246395935309352,"Trenton","NJ","08601",30000
9459985559411130,"Kansas City","MO","64101",20000
6631838888901006,"Charlotte","VT","05445",8000
4760865394229236,"Washington","NH","03280",10000
5163439090127213,"Fort Worth","TX","76101",10000
3252422521439823,"Washington","NH","03280",10000
4742690566857474,"Washington","NH","03280",20000
2009239634184904,"Saint Paul","VA","24283",10000
1828893451751906,"Washington","NH","03280",7000
8774466977695404,"Washington","NH","03280",4000
7787919251739915,"New York","NY","10001",27000
7544799337394642,"Washington","NH","03280",8000
2078460270025590,"Washington","NH","03280",8000
9981251982982618,"New York","NY","10001",18000
5795626689544539,"Houston","PA","15342",12000
4718224894234489,"Atlanta","NY","14808",18000
1155726765596507,"Richmond","MA","01254",7000
5612235316109460,"Chicago","IL","60290",4000
6216751190381521,"Pittsburgh","PA","15201",10000
6235292123992652,"Atlanta","NY","14808",14000
9264972320343248,"Washington","NH","03280",14000
4795379267919800,"Washington","NH","03280",10000
9484591448272784,"New Orleans","LA","70112",4000
3662455495779947,"Dallas","PA","18612",24000
1363526625562684,"Columbus","NJ","08022",15000
9074496478473876,"Kansas City","MO","64101",7000
3311276221301887,"Atlanta","NY","14808",6000
1809105277432987,"Washington","NH","03280",10000
5292968988475633,"Washington","NH","03280",7000
2109905364259199,"Washington","NH","03280",20000
1246716439259317,"Washington","NH","03280",27000
1087468642191606,"Seattle","WA","98060",3000
6310725288144157,"Washington","NH","03280",14000
8822567299944562,"Washington","NH","03280",10000
5073807444974852,"Washington","NH","03280",18000
9355177312625020,"Washington","NH","03280",14000
2340521163476561,"Cincinnati","OH","45201",10000
7350222978998674,"Springfield","MA","01101",2000
1897978162924096,"Houston","PA","15342",10000
8364327933036701,"Dallas","PA","18612",18000
2221202850421562,"Houston","PA","15342",4000
7798370940858637,"Washington","NH","03280",24000
6266705123601799,"Sacramento","PA","17968",4000
7685625385316960,"Washington","NH","03280",14000
4688258194581749,"San Diego","TX","78384",4000
6819174647393472,"Dallas","PA","18612",10000
7285338329726630,"Huntsville","AL","35801",16000
1428403246999020,"Cincinnati","OH","45201",10000
4904685164839326,"Houston","PA","15342",3000
8210265648016159,"Las Vegas","NM","87701",3000
6959222140366866,"Phoenix","NY","13135",18000
7757977389711023,"Houston","PA","15342",9000
4901899458549426,"Washington","NH","03280",12000
5132270021326600,"Washington","NH","03280",15000
